               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.022772,            0.020834,           0.0036318,             0.85239,             0.72865,             0.78233,             0.50175,            0.039715,             0.02903,           0.0095266,            0.004555,            0.004555,            0.004555
                 112,            0.022564,            0.020635,           0.0036635,             0.84948,             0.72825,             0.78024,             0.50049,              0.0397,            0.029142,           0.0091551,           0.0045055,           0.0045055,           0.0045055
                 113,            0.022562,            0.020631,           0.0037975,             0.84856,             0.71568,             0.77733,             0.49999,            0.039676,            0.029252,           0.0089435,            0.004456,            0.004456,            0.004456
                 114,            0.022376,            0.020535,           0.0037348,             0.84918,              0.7188,             0.77947,             0.50212,            0.039629,            0.029227,           0.0087556,           0.0044065,           0.0044065,           0.0044065
                 115,            0.022449,            0.020336,           0.0038213,             0.86507,             0.71853,             0.78345,             0.50465,             0.03978,            0.029081,           0.0088575,            0.004357,            0.004357,            0.004357
                 116,            0.022206,            0.020626,           0.0036679,              0.8593,             0.72432,             0.78203,             0.50303,            0.039726,            0.029036,           0.0090953,           0.0043075,           0.0043075,           0.0043075
                 117,            0.022013,            0.020085,           0.0036206,             0.86897,             0.70823,             0.77538,             0.49788,            0.039827,            0.029314,           0.0095282,            0.004258,            0.004258,            0.004258
                 118,            0.022156,            0.020367,           0.0038228,             0.86164,             0.70759,             0.77258,             0.49811,            0.039818,            0.029574,           0.0097394,           0.0042085,           0.0042085,           0.0042085
                 119,            0.021944,            0.020348,           0.0035043,             0.84765,             0.71949,             0.77362,             0.49742,            0.039724,            0.029671,           0.0097036,            0.004159,            0.004159,            0.004159
                 120,            0.021802,            0.020187,           0.0036567,             0.85571,             0.70447,             0.77319,             0.49596,            0.039808,            0.029786,           0.0097228,           0.0041095,           0.0041095,           0.0041095
                 121,            0.021684,            0.020166,           0.0035156,             0.84726,             0.71366,              0.7749,             0.49877,             0.03975,            0.029843,           0.0096447,             0.00406,             0.00406,             0.00406
                 122,             0.02151,            0.020071,           0.0034763,             0.84017,             0.71979,             0.77791,             0.49981,            0.039578,            0.029744,            0.009311,           0.0040105,           0.0040105,           0.0040105
                 123,            0.021578,            0.020248,           0.0035334,             0.84838,              0.7089,             0.77735,             0.50029,            0.039573,            0.029828,           0.0093398,            0.003961,            0.003961,            0.003961
                 124,            0.021246,            0.019993,           0.0034752,             0.84064,             0.71198,             0.77257,             0.50125,            0.039603,            0.029958,           0.0092041,           0.0039115,           0.0039115,           0.0039115
                 125,            0.021403,             0.02015,           0.0035514,             0.84342,             0.71172,              0.7729,             0.50229,            0.039592,            0.029974,           0.0091489,            0.003862,            0.003862,            0.003862
                 126,            0.020954,            0.019584,           0.0033828,             0.83738,             0.71539,             0.77053,             0.50074,            0.039646,            0.030186,           0.0094809,           0.0038125,           0.0038125,           0.0038125
